date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:28:48	1832505/1832505	---M--	200	added ('OK')	image/png	etag:W/%221bf639-17d097b14e8%22	https://rici.io/images/airdrop-form-mobile.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/airdrop-form-mobile.png	(from https://rici.io/)
03:28:49	274093/274093	---M--	200	added ('OK')	image/png	etag:W/%2242ead-17cf85b1c08%22	https://rici.io/images/earth-4.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/earth-4.png	(from https://rici.io/)
03:28:49	2339241/2339241	---M--	200	added ('OK')	image/png	etag:W/%2223b1a9-17d05a42030%22	https://rici.io/images/roadmap.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/roadmap.png	(from https://rici.io/)
03:28:49	120752/120752	---M--	200	added ('OK')	image/png	etag:W/%221d7b0-17cf4cf1300%22	https://rici.io/images/roadmap-plane.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/roadmap-plane.png	(from https://rici.io/)
03:28:50	181868/181868	---M--	200	added ('OK')	image/png	etag:W/%222c66c-17cf85b1c08%22	https://rici.io/images/earth-5.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/earth-5.png	(from https://rici.io/)
03:28:50	72878/72878	---M--	200	added ('OK')	image/png	etag:W/%2211cae-17d05a42030%22	https://rici.io/images/game-label.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/game-label.png	(from https://rici.io/)
03:28:51	1382085/1382085	---M--	200	added ('OK')	image/png	etag:W/%221516c5-17d05a42030%22	https://rici.io/images/game.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/game.png	(from https://rici.io/)
03:28:51	2627065/2627065	---M--	200	added ('OK')	image/gif	etag:W/%222815f9-17d05a42030%22	https://rici.io/images/fight.gif	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/fight.gif	(from https://rici.io/)
03:28:51	170970/170970	---M--	200	added ('OK')	image/png	etag:W/%2229bda-17d05a42030%22	https://rici.io/images/buttons/play-game-now.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/buttons/play-game-now.png	(from https://rici.io/)
03:28:52	36920/36920	---M--	200	added ('OK')	image/png	etag:W/%229038-17cf84cdf80%22	https://rici.io/images/contact.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/contact.png	(from https://rici.io/)
03:28:52	19495/19495	---M--	200	added ('OK')	image/png	etag:W/%224c27-17cf84cdf80%22	https://rici.io/images/social-telegram.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/social-telegram.png	(from https://rici.io/)
03:28:52	3673970/3673970	---M--	200	added ('OK')	image/png	etag:W/%22380f72-17d097b14e8%22	https://rici.io/images/partner.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/partner.png	(from https://rici.io/)
03:28:53	17701/17701	---M--	200	added ('OK')	image/png	etag:W/%224525-17cf84cdf80%22	https://rici.io/images/social-youtube.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/social-youtube.png	(from https://rici.io/)
03:28:53	18822/18822	---M--	200	added ('OK')	image/png	etag:W/%224986-17cf84cdf80%22	https://rici.io/images/social-skyber.png	C:/Users/Admin/Desktop/web%20si/websi/rici.io/images/social-skyber.png	(from https://rici.io/)
03:28:53	125704/125704	---MCZ	200	added ('OK')	font/otf	etag:W/%221eb08-17d3b121ab0%22	https://rici.io/_next/static/media/Gotham-Light.9c5e046b.otf	C:/Users/Admin/Desktop/web%20si/websi/rici.io/_next/static/media/Gotham-Light.9c5e046b.otf	(from https://rici.io/_next/static/css/9b4344c1d0a3ff08.css)
03:28:53	128768/128768	---MCZ	200	added ('OK')	font/otf	etag:W/%221f700-17d3b121ab0%22	https://rici.io/_next/static/media/Gotham-Medium.026843f9.otf	C:/Users/Admin/Desktop/web%20si/websi/rici.io/_next/static/media/Gotham-Medium.026843f9.otf	(from https://rici.io/_next/static/css/9b4344c1d0a3ff08.css)
03:28:54	127472/127472	---MCZ	200	added ('OK')	font/otf	etag:W/%221f1f0-17d33ba2cf8%22	https://rici.io/_next/static/media/Gotham-Bold.5306f5d5.otf	C:/Users/Admin/Desktop/web%20si/websi/rici.io/_next/static/media/Gotham-Bold.5306f5d5.otf	(from https://rici.io/_next/static/css/9b4344c1d0a3ff08.css)
03:28:54	137472/137472	---MCZ	200	added ('OK')	font/otf	etag:W/%2221900-17d33785968%22	https://rici.io/_next/static/media/Gotham-Bolder.1b402ce7.otf	C:/Users/Admin/Desktop/web%20si/websi/rici.io/_next/static/media/Gotham-Bolder.1b402ce7.otf	(from https://rici.io/_next/static/css/9b4344c1d0a3ff08.css)
03:28:54	96852/96852	---MCZ	200	added ('OK')	font/ttf	etag:W/%2217a54-17d3b121ab0%22	https://rici.io/_next/static/media/BRLNSDB.205652e6.TTF	C:/Users/Admin/Desktop/web%20si/websi/rici.io/_next/static/media/BRLNSDB.205652e6.TTF	(from https://rici.io/_next/static/css/9b4344c1d0a3ff08.css)
03:28:55	72160/72160	---MCZ	200	added ('OK')	font/ttf	etag:W/%22119e0-17d3b121ab0%22	https://rici.io/_next/static/media/SVN-Avo.4bd145f2.ttf	C:/Users/Admin/Desktop/web%20si/websi/rici.io/_next/static/media/SVN-Avo.4bd145f2.ttf	(from https://rici.io/_next/static/css/9b4344c1d0a3ff08.css)
03:28:55	72740/72740	---MCZ	200	added ('OK')	font/ttf	etag:W/%2211c24-17d097d5ed8%22	https://rici.io/_next/static/media/SVN-Avo-italic.8743feb7.ttf	C:/Users/Admin/Desktop/web%20si/websi/rici.io/_next/static/media/SVN-Avo-italic.8743feb7.ttf	(from https://rici.io/_next/static/css/9b4344c1d0a3ff08.css)
03:28:55	73676/73676	---MCZ	200	added ('OK')	font/ttf	etag:W/%2211fcc-17d3b121ab0%22	https://rici.io/_next/static/media/SVN-Avo-bold.2eb79cc3.ttf	C:/Users/Admin/Desktop/web%20si/websi/rici.io/_next/static/media/SVN-Avo-bold.2eb79cc3.ttf	(from https://rici.io/_next/static/css/9b4344c1d0a3ff08.css)
03:28:56	69712/69712	---MCZ	200	added ('OK')	font/ttf	etag:W/%2211050-17d3b121ab0%22	https://rici.io/_next/static/media/SVN-Avo-bold-italic.2cf4d9b1.ttf	C:/Users/Admin/Desktop/web%20si/websi/rici.io/_next/static/media/SVN-Avo-bold-italic.2cf4d9b1.ttf	(from https://rici.io/_next/static/css/9b4344c1d0a3ff08.css)
03:28:56	108516/108516	---MCZ	200	added ('OK')	font/ttf	etag:W/%221a7e4-17d2186f728%22	https://rici.io/_next/static/media/SVN-Cookie.ecb62dda.ttf	C:/Users/Admin/Desktop/web%20si/websi/rici.io/_next/static/media/SVN-Cookie.ecb62dda.ttf	(from https://rici.io/_next/static/css/9b4344c1d0a3ff08.css)
